Link1,Link2,Link3,Link4,Link5,Link6,Link7,Link8,Link9,Link10,Link11,Link12
540,0,0,360,360,360,0,540,360,360,1080,360
360,540,360,180,180,180,360,720,540,360,1620,1080
0,360,540,360,180,0,180,360,720,360,360,360
540,0,180,360,360,360,0,900,360,900,2700,360
0,360,0,360,360,180,360,360,900,360,1620,540
720,180,540,0,360,180,180,540,180,720,1620,900
180,360,360,540,0,0,180,180,540,360,1260,900
900,0,540,360,720,0,0,720,180,540,2520,360
540,900,180,540,360,0,0,180,720,0,1440,540
180,540,900,0,540,0,0,540,180,900,180,360
360,0,540,900,0,540,0,360,540,180,2160,180
180,360,180,720,720,0,540,0,360,720,0,1620
540,180,360,360,720,360,0,180,0,180,2700,180
360,720,180,180,360,180,540,360,360,0,540,540
540,0,720,360,360,0,0,180,180,360,180,180
0,360,360,720,180,180,0,1080,180,180,720,0
180,0,180,180,720,180,180,360,1080,360,1620,540
180,180,0,360,360,720,180,900,540,720,1440,360
180,180,180,0,180,0,720,540,540,360,360,540
0,0,360,180,0,0,0,540,900,720,1980,540
540,0,0,360,180,0,0,720,540,720,900,540
180,540,0,0,360,0,0,720,720,540,900,900
360,360,540,0,0,360,360,180,540,540,900,720
360,360,360,360,0,0,0,0,180,720,1620,900
360,360,360,540,540,0,0,540,0,180,1440,360
360,360,360,540,540,360,0,0,540,0,1620,900
900,180,540,360,180,180,360,540,0,540,1620,180
0,900,360,360,360,180,180,720,360,0,1800,540
0,0,720,360,360,180,180,360,900,360,1440,180
180,0,0,900,540,0,180,180,360,360,360,180
180,180,0,0,720,360,0,360,180,900,2340,360
360,360,360,0,0,0,360,180,360,180,900,360
360,180,360,180,0,0,0,540,180,360,360,900
900,540,0,540,180,0,0,540,900,180,1980,540
0,1080,720,0,540,180,0,180,540,360,1620,720
0,0,720,180,0,180,180,0,180,720,1980,0
0,0,0,1260,360,0,180,0,0,180,1080,900
360,0,0,0,1080,360,0,180,0,0,1260,180
720,360,0,0,0,180,360,180,360,0,900,180
180,900,1080,0,0,180,180,720,0,360,900,0
180,360,0,720,0,0,180,180,720,0,1440,0
0,180,360,360,720,0,0,180,180,720,180,540
360,0,0,180,360,360,0,180,180,180,2520,720
0,360,360,180,360,180,360,180,180,180,1260,540
360,0,0,180,0,180,180,180,360,180,1620,180
1080,360,360,180,360,0,180,360,0,360,1260,180
180,900,0,0,0,360,0,360,540,0,1260,0
0,180,1080,360,0,0,360,540,180,360,1980,540
0,180,0,900,720,180,0,900,900,360,540,180
180,0,180,180,540,360,180,360,900,720,2160,540
360,180,0,0,0,360,540,180,0,1080,1080,360
180,180,180,180,0,0,180,180,180,0,2160,540
360,360,360,0,0,0,0,540,360,180,1260,1260
180,360,180,360,0,0,0,180,360,360,1440,180
360,180,360,180,360,0,0,360,180,360,1800,360
180,540,540,360,180,360,0,540,360,180,720,720
360,0,180,540,360,0,180,180,540,0,2340,180
540,360,180,360,360,0,180,180,180,900,1620,0
0,360,180,0,540,360,0,180,0,180,720,180
360,180,720,360,0,180,540,360,180,0,1080,720
180,540,0,180,360,0,0,180,360,180,900,180
180,0,540,360,180,0,0,540,540,360,1620,180
180,180,0,540,360,0,0,0,540,360,1080,360
0,180,360,0,540,0,0,0,0,540,900,720
360,180,0,180,0,180,0,180,0,0,1800,540
720,360,360,180,180,0,180,0,180,0,720,360
180,900,540,180,180,0,0,360,180,180,1620,0
180,0,540,540,360,180,0,540,360,180,360,180
0,180,180,720,540,180,180,360,360,360,1620,180
0,0,0,180,540,0,180,360,180,540,2340,0
540,0,0,0,180,540,0,180,360,180,1260,360
0,360,180,0,0,180,720,360,180,360,1080,900
0,180,360,0,0,0,0,360,720,180,720,360
0,0,0,360,0,0,0,720,0,720,720,360
180,0,0,180,360,180,0,180,720,0,1620,540
540,360,0,0,180,0,180,360,180,720,1980,720
0,360,360,0,0,0,0,360,360,180,1440,720
360,0,360,360,0,0,0,360,360,360,1800,360
720,540,180,180,360,0,0,0,360,360,1080,180
540,360,720,180,180,180,0,0,0,180,720,720
360,720,180,540,360,0,180,0,0,180,720,180
0,360,900,540,360,360,180,360,0,0,1080,720
360,0,0,720,540,180,360,0,360,0,1440,180
180,360,360,180,900,360,180,180,0,360,1080,0
360,180,360,0,0,540,180,540,180,0,2520,0
180,540,0,180,180,0,540,180,720,180,720,900
0,0,540,360,0,0,0,540,0,720,1800,0
0,0,0,180,360,0,0,360,540,0,1620,540
180,0,0,360,180,360,0,360,360,540,360,1080
0,180,0,0,360,180,180,0,360,360,1620,0
180,0,180,0,0,180,360,180,0,360,3060,720
360,180,0,0,0,0,180,540,180,0,540,720
0,360,180,180,0,0,0,180,720,180,1440,180
540,0,360,180,180,0,0,180,0,720,1080,180
180,540,180,360,180,180,0,180,180,0,1260,180
0,180,540,180,360,180,180,180,360,180,1080,540
180,0,180,360,180,180,180,360,180,360,900,360
180,180,180,0,360,0,180,0,360,180,1800,180
180,180,0,180,0,180,180,720,180,360,900,720
540,180,360,180,180,0,0,900,360,180,1620,180
720,540,180,180,180,360,0,180,720,180,1800,360
0,720,540,360,180,0,360,0,180,1080,1080,180
0,0,540,540,360,0,0,180,180,180,1440,360
180,0,0,540,540,180,0,360,0,0,1440,1440
0,180,0,0,540,540,180,180,360,540,1260,180
0,0,180,0,0,180,540,180,180,180,720,360
180,0,0,180,0,0,180,540,180,180,1080,360
360,180,0,0,180,0,0,540,720,180,720,0
180,540,180,0,0,0,0,360,360,720,1080,180
180,180,540,180,0,0,0,360,360,180,1260,540
180,180,180,720,360,0,0,180,540,540,1440,360
180,0,180,180,360,360,0,180,0,360,900,180
0,180,180,180,180,360,540,180,180,180,1440,720
540,180,0,180,180,0,360,360,180,180,1080,540
360,360,360,0,180,180,0,360,360,180,720,0
360,540,360,360,180,0,180,0,360,360,720,180
180,360,360,180,180,0,0,360,0,360,1620,360
0,180,360,0,360,0,0,180,360,0,900,540
180,0,180,720,0,360,0,0,0,360,720,360
180,180,180,180,540,0,180,180,0,0,1980,0
360,360,0,180,360,0,0,540,360,0,1080,360
0,180,360,0,180,0,0,180,360,360,2340,0
180,0,180,360,0,0,0,360,180,0,1440,540
180,180,0,180,360,0,0,180,360,540,1980,180
720,180,360,0,180,0,0,540,180,360,1260,180
540,720,180,180,0,0,0,0,540,180,1980,540
0,540,900,540,180,0,0,0,0,360,1440,360
180,0,360,540,360,180,0,360,0,180,1080,0
360,180,0,360,540,180,360,0,360,0,900,360
360,360,360,180,360,180,0,0,0,360,1080,180
0,360,180,360,180,360,360,540,180,0,720,540
180,0,360,360,540,180,180,0,360,360,2520,0
180,180,180,180,0,540,360,180,0,180,720,180
360,180,0,180,180,0,360,360,180,0,720,360
360,540,180,180,180,180,180,900,360,180,900,360
0,180,540,180,180,0,0,180,720,720,1260,180
180,0,180,540,360,180,180,720,180,360,1620,180
180,180,0,180,360,360,0,360,540,180,900,1260
180,180,180,0,180,180,540,180,360,540,540,360
0,180,360,180,0,180,180,360,180,360,900,180
360,0,0,360,180,0,180,540,360,0,900,720
360,720,180,0,360,180,0,180,540,540,900,360
0,0,540,0,0,0,180,360,360,540,1260,180
180,180,0,720,0,0,0,180,180,360,1440,900
180,0,180,0,720,0,0,180,180,180,1260,540
180,180,0,180,0,180,0,360,180,0,720,360
180,180,360,0,180,0,180,0,360,360,1080,180
180,180,360,0,0,0,0,180,0,360,1080,360
180,180,180,360,0,0,0,180,180,0,1440,360
180,360,0,360,540,0,0,0,180,180,900,180
360,180,360,0,180,180,0,0,0,180,1260,180
180,360,180,360,0,180,180,180,0,0,1620,360
180,0,360,360,360,0,180,0,180,0,1080,360
180,360,0,180,180,180,0,720,180,180,900,0
0,0,360,180,180,0,180,360,720,180,540,540
180,0,0,360,180,0,0,0,180,900,720,0
360,180,180,0,360,180,0,180,0,180,1260,180
180,360,0,0,0,180,360,0,180,0,720,900
0,180,360,180,0,0,0,0,0,180,540,180
360,0,180,360,180,0,0,540,0,0,360,180
540,360,180,180,360,0,0,0,540,0,540,0
0,720,180,180,180,180,0,180,180,540,1620,0
180,0,540,180,180,180,180,360,0,180,900,540
0,180,0,180,360,0,180,0,360,0,540,0
540,0,180,360,0,360,180,180,0,180,0,360
360,180,0,180,360,0,180,180,180,0,1080,0
0,720,360,0,180,0,0,180,180,180,360,540
360,0,720,180,0,0,0,180,540,0,180,0
540,720,0,900,180,0,0,540,0,540,360,180
540,720,720,0,720,180,0,0,540,0,360,180
180,360,540,900,0,360,360,540,180,540,1440,720
360,360,360,360,720,0,180,180,360,180,360,360
0,180,360,360,360,540,0,360,180,360,180,540
360,0,0,360,360,360,540,180,360,360,1800,180
360,360,0,180,360,360,360,180,180,180,1260,540
360,360,360,0,180,0,360,540,180,180,180,540
0,360,720,180,0,180,0,540,540,180,720,360
180,0,180,540,180,0,180,360,900,540,180,540
0,180,0,360,720,0,0,0,0,720,1620,540
360,180,180,0,180,360,0,360,0,180,540,1260
0,180,180,180,0,0,360,0,540,0,540,360
0,0,0,180,180,180,0,360,0,360,1260,180
540,0,180,0,180,180,360,540,360,0,360,540
180,540,360,180,0,180,0,360,540,360,900,180
180,180,180,180,0,0,180,360,360,540,180,180
0,180,180,360,720,0,0,360,180,360,900,180
180,0,180,180,0,180,180,180,540,180,180,720
180,360,0,0,180,0,0,180,180,540,540,180
360,0,360,180,180,0,0,180,360,180,1080,180
180,360,0,360,0,0,0,0,0,360,360,540
0,180,540,0,360,180,0,0,0,0,720,540
0,0,0,360,0,0,180,180,0,180,540,180
180,180,0,180,360,0,0,0,180,0,720,0
180,0,180,0,180,360,0,360,0,180,0,0
720,180,0,180,0,0,360,0,360,0,360,180
540,720,540,0,180,0,0,180,180,360,540,0
180,540,540,180,0,0,0,540,0,180,1620,180
0,360,720,720,0,0,0,180,540,0,0,540
360,0,0,540,900,0,0,180,180,540,1080,180
540,540,0,180,360,540,0,540,180,180,1620,180
360,540,720,0,360,0,540,180,540,180,540,540
0,360,540,540,0,360,0,180,180,540,1440,360
0,0,180,540,540,0,360,540,180,180,540,180
360,0,0,360,720,360,180,0,540,180,1080,360
360,180,180,0,180,360,180,540,0,540,360,360
0,540,0,0,0,360,540,180,540,0,1080,540
0,0,540,180,180,0,180,180,360,540,720,180
0,0,0,540,0,0,0,360,0,360,900,180
720,0,0,0,540,180,0,180,540,0,1080,720
180,720,0,0,0,180,180,180,180,360,720,180
0,180,900,0,0,0,0,180,180,360,1800,0
180,0,180,900,0,0,180,180,180,180,1080,360
0,180,0,180,720,0,0,180,180,180,1260,360
180,0,180,0,180,540,180,180,180,180,720,180
360,180,0,180,0,0,360,0,180,180,1440,180
0,360,180,0,180,0,0,360,0,180,1440,180
180,0,540,180,0,180,0,540,360,0,1440,180
180,180,180,360,360,0,180,360,540,360,360,0
0,180,180,0,360,0,0,0,360,360,900,360
180,0,0,360,0,360,180,360,0,540,360,360
180,180,0,0,360,180,180,180,360,0,900,540
0,180,180,0,0,0,180,540,180,360,900,180
180,0,180,180,0,0,0,360,540,180,1260,360
180,180,0,180,180,0,0,720,360,360,720,360
0,180,360,0,180,180,0,180,720,540,1080,360
900,0,0,180,0,180,180,0,180,720,1080,720
0,900,0,180,180,0,180,0,0,180,1440,360
360,180,900,0,180,0,0,360,180,0,1260,360
720,0,180,720,0,180,0,180,180,0,1260,360
360,540,360,540,720,0,180,180,360,360,180,0
0,540,360,0,360,540,180,180,180,360,540,180
180,0,900,540,0,0,360,360,180,180,1260,180
180,180,0,360,720,0,0,180,360,180,360,360
180,180,360,180,360,360,180,540,540,360,540,360
180,360,0,360,180,180,180,0,180,360,1440,0
540,0,360,0,360,0,180,180,0,360,720,360
0,540,180,360,0,180,0,360,180,0,720,540
180,0,360,0,360,0,180,180,360,180,540,180
360,180,0,360,0,180,180,360,360,180,1080,180
180,360,360,180,360,0,0,720,360,540,1080,0
900,360,180,180,180,0,0,180,720,360,540,540
0,720,900,360,180,180,180,0,180,360,720,720
0,0,180,720,360,360,180,180,0,360,1080,360
0,0,0,360,900,0,360,180,360,0,1080,360
360,0,0,0,180,720,0,360,360,360,540,360
180,360,0,0,0,0,720,360,360,360,540,180
0,180,360,0,0,0,0,1080,540,360,720,540
180,0,360,180,0,0,0,900,1260,540,720,360
180,180,0,360,180,0,0,360,180,1260,900,360
180,180,540,0,360,180,0,180,360,180,1440,720
180,180,180,0,0,180,180,0,360,360,720,1080
540,180,360,180,0,0,180,180,0,360,1800,180
0,540,360,180,180,0,0,180,180,0,1440,540
360,0,360,180,360,0,0,720,360,180,1260,180
540,180,0,540,180,180,0,0,540,360,360,0
360,720,360,0,540,0,180,180,180,540,1440,540
180,360,540,180,180,180,0,540,180,0,900,540
0,180,360,360,0,180,180,180,720,180,540,720
0,0,180,360,360,180,180,180,0,900,720,360
180,0,0,540,360,0,180,360,180,0,1260,360
540,360,180,0,360,180,0,0,360,360,360,540
180,360,180,0,180,180,180,180,0,180,1260,360
540,180,540,540,0,0,180,0,540,0,360,360
720,900,360,360,360,0,0,180,0,720,0,0
180,540,720,540,360,180,0,540,180,0,1080,180
180,360,1080,720,360,360,360,180,720,180,540,360
180,360,360,540,720,360,360,0,180,540,1080,540
180,0,180,360,540,540,180,360,180,180,900,180
360,180,180,360,360,540,900,540,180,360,180,540
180,720,180,0,360,0,360,540,540,180,1080,360
360,180,540,360,0,180,180,540,540,540,720,540
0,360,360,540,360,180,0,540,540,540,1260,0
180,0,0,180,540,180,0,0,540,540,540,900
360,180,0,360,180,540,540,0,180,540,540,360
